上位のページ,クリック数,表示回数,CTR,掲載順位
https://www.dearmanga.com/action/city-hunter,0,7,0%,56.71
https://www.dearmanga.com/slice-of-life/naniwa-kinyu-do,0,6,0%,1.83
https://www.dearmanga.com/slice-of-life/free-and-easy,0,6,0%,2.5
https://www.dearmanga.com/fantasy/kappa-no-sanpei,0,6,0%,2.83
https://www.dearmanga.com/romance/hapi-mari,0,6,0%,3.67
https://www.dearmanga.com/sci-fi/21-emon,0,6,0%,3.83
https://www.dearmanga.com/slice-of-life/police-in-a-pod,0,6,0%,5.5
https://www.dearmanga.com/sports/softenni,0,6,0%,6
https://www.dearmanga.com/slice-of-life/nonnonba,0,6,0%,6.33
https://www.dearmanga.com/romance/ojojojo,0,6,0%,6.5
https://www.dearmanga.com/action/detective-school-q,0,6,0%,7
https://www.dearmanga.com/slice-of-life/i-want-to-wear-your-clothes,0,6,0%,7
https://www.dearmanga.com/romance/love-attack,0,6,0%,7.17
https://www.dearmanga.com/slice-of-life/fragile,0,6,0%,7.17
https://www.dearmanga.com/horror/life-keiko,0,6,0%,7.33
https://www.dearmanga.com/slice-of-life/kachou-shima-kosaku,0,6,0%,7.67
https://www.dearmanga.com/sci-fi/mai-psychic-girl,0,6,0%,7.83
https://www.dearmanga.com/slice-of-life/gaki-deka,0,6,0%,7.83
https://www.dearmanga.com/romance/p-to-jk,0,6,0%,8.17
https://www.dearmanga.com/fantasy/reincarnated-as-a-sword,0,6,0%,8.33
https://www.dearmanga.com/historical/ninja-bugeicho,0,6,0%,8.33
https://www.dearmanga.com/historical/crest-of-the-royal-family,0,6,0%,9
https://www.dearmanga.com/fantasy/moon-phase,0,6,0%,9.17
https://www.dearmanga.com/slice-of-life/tsurumoku-dokusin-ryou,0,6,0%,9.17
https://www.dearmanga.com/fantasy/record-of-ragnarok,0,6,0%,10
https://www.dearmanga.com/sci-fi/a-drunken-dream,0,6,0%,13.5
https://www.dearmanga.com/sci-fi/worlds-end-harem,0,6,0%,14.17
https://www.dearmanga.com/action/hitman-reborn,0,6,0%,15.33
https://www.dearmanga.com/fantasy/papuwa-kun,0,6,0%,15.83
https://www.dearmanga.com/slice-of-life/yuru-yuri,0,6,0%,16.33
https://www.dearmanga.com/fantasy/legend-of-the-northern-blade,0,6,0%,18.83
https://www.dearmanga.com/fantasy/rg-veda,0,6,0%,19.5
https://www.dearmanga.com/action/blazing-transfer-student,0,6,0%,20.83
https://www.dearmanga.com/romance/beast-master,0,6,0%,22.17
https://www.dearmanga.com/romance/my-happy-marriage,0,6,0%,26
https://www.dearmanga.com/slice-of-life/yotsuba,0,6,0%,27.5
https://www.dearmanga.com/sports/mix,0,6,0%,29.67
https://www.dearmanga.com/romance/oniisama-e,0,6,0%,31.83
https://www.dearmanga.com/horror/shadows-house,0,6,0%,34.5
https://www.dearmanga.com/romance/nana,0,6,0%,34.83
https://www.dearmanga.com/action/gunslinger-girl,0,6,0%,40.5
https://www.dearmanga.com/horror/gyo,0,6,0%,45.17
